article,classification,summary
"( cnn ) after more than nine years of traveling through the solar system, nasa's new horizons spacecraft has sent back its first color image of pluto. The initial picture released on tuesday shows a couple of orange - tinged blobs : pluto and its largest moon, charon. But the probe will soon be beaming back much sharper images and a wealth of other information about pluto's remote, unexplored corner of the solar system. ` `this is pure exploration ; we're going to turn points of light into a planet and a system of moons before your eyes,'' said alan stern, new horizons' principal investigator. Launched in 2006, new horizons is nearing the crucial point in its epic voyage of more than 3 billion miles. The probe is due to make its closest approach to pluto on july 14. ` `in an unprecedented flyby this july, our knowledge of what the pluto system is really like will expand exponentially, and i have no doubt there will be exciting discoveries,'' said john grunsfeld, an astronaut and associate administrator of the nasa science mission directorate. Discovered in 1930, pluto was once considered to be the smallest planet in the solar system. But scientists have since revised that view because of pluto's size and location, demoting it to the status of `` dwarf planet'' : a planet that's too small to clear other objects out of its way. Pluto is 1, 400 miles wide, roughly half the width of the continental united states. At 3. 6 billion miles out in the solar system, it's about 40 times as far from the sun as earth is. By discovering more about pluto and its moons, new horizons will shed light on a little - known third zone of the solar system, beyond the rocky planets and the gas giants. The area, known as the kuiper belt, contains `` mysterious small planets and planetary building blocks,'' according",correct,"Pluto and its largest moon, charon. The probe is due to make its closest approach to pluto on july 14. New horizons will shed light on a third zone of the solar system."
"( cnn ) just about now, north korea's enigmatic ruler was expected to be preparing to emerge from his fortified country for a visit to moscow to join celebrations next week marking the 70th anniversary of the end of world war ii in europe. The trip was highly anticipated. After all, this was to have been kim's first official international trip since he came to power in 2011 following his father's death, and it would have provided a fascinating opportunity for the world to get a closer look at a young leader and a regime still largely shrouded in mystery. But this week, russia announced that the trip had been canceled, with kremlin spokesman dmitry peskov saying thursday that moscow was informed via diplomatic channels that the trip would not happen. He said that `` the decision is connected with north korean domestic affairs.' ' what could have changed kim's mind? It is practically impossible to answer the question with absolute certainty, but a possible explanation is that kim may not be feeling completely secure in his position. And nervous dictators prefer to stay home. True, kim runs one of the most brutally repressive regimes on earth. And there is unceasing public praise for the younger `dear leader,'' including frenzied eruptions of support. But these eruptions are carefully scripted, and those who have managed to flee the north confirm that in private, many are unhappy with the regime. Perhaps with the potential threats in mind, kim feels the need to reassert his authority and keep his eye on the centers of power. In 2013, kim shocked the country and stunned outside observers when he ordered the killing of his uncle, jang song thaek, who had stood by his side from the day his father died. Jang had mentored and guided the young kim as he took the reins, but the once - powerful jang was arrested by soldiers during a politburo meeting who dragged him away in a chilling scene broadcast on",correct,North korea's ruler was expected to join moscow on the 70th anniversary of the end of world war ii. The trip was to be kim's first official international trip since his father's death. Kremlin says the trip had been canceled.
"( cnn ) lady antebellum singer hillary scott's tour bus caught fire on a texas freeway thursday morning, but everyone on board was safely evacuated. Michael barnett captured dramatic video of the fire, on interstate 30 just northeast of dallas, and uploaded it to cnn ireport. Smoke and flames poured from the rear of the bus as traffic slowed to a crawl and barnett slowly approached in his vehicle. As he drew closer to the bus, barnett decided to stop filming because he didn't know what to expect. ` `it was shocking,'' he said. ` `i didn't know what i was about to see. I didn't know if anyone was hurt.' ' barnett said he didn't realize at the time that the bus belonged to the country band. Hillary scott, co - lead singer for the band, posted a photo of the charred bus on instagram and noted that she, her husband, the tour manager and the driver were all evacuated safely. ` `thanking god for our safety and the safety of all of those who helped put this fire out and keep us safe,'' she wrote. The tour manager told cnn affiliate ktvt that the bus stopped after a rear tire blew out. It burst into flames after everyone had gotten off. Scott also posted an instagram photo and message saying that the fire destroyed everything in the bus's back lounge except her bible. The band's two other members, charles kelley and dave haywood, were not traveling on the bus, ktvt reported. Lady antebellum is set to perform at the 50th academy of country music awards on sunday in arlington, texas.",correct,"Lady antebellum singer hillary scott's tour bus caught fire on texas freeway. Barnett said he didn't know what to expect. `` it was shocking,'' barnett said."
"A 13 - year - old girl has been gunned down by isis snipers in the syrian capital of damascus as she tried to flee a militant - held area of the city, according to reports. The teenager, identified as zeynab daghastani, was shot and killed as she made her way through the southern streets of the al - yarmouk camp towards the nearby neighbourhood of yalda. Zeynab was shot dead on the evening of april 7 last week according to a worker at the jafra foundation, an aid organisation working in the area. Zeynab daghastani, 13, was reportedly gunned down by isis snipers in al - yarmouk camp, on the outskirts of damascus, as she fled the militants ( pictured, islamic state fighters as they captured the camp ten days ago ). According to relief workers in the area, zeynab was killed on tuesday as she tried to make her way from yarmouk to a nearby neighbourhood controlled by the syrian army ( pictured, isis fighters in yarmouk ). The worker, named only as nina, also revealed that activists and relief workers were also being targeted by isis, according to the ibtimes. Nina told the publication that she had got the information from aknaf bait al - maqdis, a palestinian rebel group who are trying to recapture yarmouk from isis. Thousands of palestinians have been trying to escape yarmouk since the area fell under isis control on april 4, leaving 200 people dead in seven days, including children who were slaughtered in front of their parents. Around 160, 000 palestinians used to live in yarmouk, just a few miles from the palace of president bashar al - assad, but many fled after his regime began bombing the neighbourhood in 2012 during the arab spring uprisings. The district was soon surrounded and food, water, and electricity supplies were all cut off, with around",correct,"A 13-year-old girl has been gunned down by isis snipers in damascus. Zeynab daghastani, 13, was shot and killed as she made her way through the streets of the al-yarmouk camp. Zeynab was shot dead on the evening of april 7 last week. Thousands of palestinians have been trying to escape yarmouk since the area fell under isis control on april 4."
"A 16 - year - old filmed throwing a kitten against a door and flushing it in the toilet has been banned from keeping animals for ten years after it had to be put down because of the abuse it suffered. The teenager, who can not be named for legal reasons, had to look away as disturbing footage of tilly meowing in distress as he threw her against the door was played in swindon magistrates court. He claimed he was `accidentally' high on `white rhino' - super - strength cannabis - and was being egged on by friends when the abuse occurred. Scroll down for video. Disturbing scenes : defendant flushes tilly's head in the toilet while high on super - strength cannabis. Tilly was held by her tail and dangled in bathwater. She was in such a sorry state when rspca inspectors found her that she had to be put to sleep. Inspectors said she suffered a lot in her short life. Owner sarah reeves was filmed throwing her cat against the walls, alerting the rspca to the abuse. The defendant admitted to two counts of causing unnecessary suffering and was given a nine - month referral order and banned for keeping animals for ten years. At an earlier hearing, tilly's owner, sarah reeves, 19, was also given a ten - year ban from keeping animals. The rspca became aware of tilly's condition when friends filmed reeves throwing the young cat against the walls of her home, where the male had been living for a month, the court heard. Rspca inspector miranda albinson said when she arrived, the cat was cowering under a blanket, weighing just a third of what she should weigh, cold to the touch and `clearly dying'. She said : `this cat suffered a great deal in its very short life.' Tanya james, prosecuting the 16 - year - old, told the court : `the vet was asked to consider all the evidence in relation to this defendant,",correct,16-year-old filmed throwing a kitten against a door and flushing it in the toilet. He claimed he was `accidentally' high on `white rhino' - super-strength cannabis. Owner sarah reeves given a ten-year ban from keeping animals.
"A darwin woman has become a tv sensation in the philippines, earning a legion of adoring fans in southeast asia and an award nomination for her role in the country's answer to us hit series modern family. After struggling to hit the big time in australia, bubbly blonde natalia moon followed her dreams and moved to the philippines in 2012. She became fluent in the local language, tagalog, in the hope of becoming a star. Scroll down for video. Natalia moon ( pictured ) learned filipino language tagalog to score a role on sitcom ismol family. The darwin woman moved to the philippines in 2012 after struggling to find work as an actress in australia. Natalia moon is also a model who has been featured on magazine cousins in the philippines. The risk paid off as the 23 - year - old, who promotes herself as `the barbie from down under', landed a major role in 2014 playing a catty maid, also named natalia, in the new sitcom `ismol family'. The aussie, born natalie stewart, has taken to the role with lavish, overcoming the added challenge of performing in a new language. She fits in so well in her adopted home that she is known as `the blonde filipino'. The aussie, born natalie stewart, has taken to the role with lavish, overcoming the added challenge of performing in a new language. The 23 - year - old, who promotes herself as `the barbie from down under', landed a major role in 2014 playing a catty maid, also named natalia, in the new sitcom `ismol family' this year, she unsuccessfully auditioned for asia's got talent, in the hope of representing the philippines. With the support of her strong fan base, ms moon will attend the golden screen tv awards on april 26 where she is nominated for outstanding breakthrough performance by an actress. With the support of her strong fan base, ms moon will attend the golden screen tv",correct,Natalia moon learned filipino language tagalog to score a role on sitcom ismol family. The darwin woman moved to the philippines in 2012 after struggling to find work as an actress in australia. Natalia moon is also a model who has been featured on magazine cousins in the philippines.
"A family have spoken of their heartbreak after two of their beloved pet dogs were shot dead by their neighbour. The horrific incident happened after lisa and james tuttle moved with their five children to the rural village of geldeston in norfolk in 2005. They thought their big house with a large garden surrounded by arable land would be a peaceful and idyllic family home. But their happiness was shattered in 2014 after their dogs marley and lily were shot after escaping on to their neighbour's farmland where they were accused of killing his birds. Scroll down for video. Lisa tuttle with her one remaining dog bella, after her other two dogs were shot dead by the farmer next door. Lily, centre, and marley, right, were killed as they were accused of slaughtering a farmer's birds after escaping onto his land from the tuttle's garden. Bella, left, is the family's remaining dog. Lisa reveals on channel 5 show the nightmare neighbour next door how she had a long - running dispute with the owner of the farm, john cook, over her dogs trespassing on his property. It began with their first dog - a labrador called ruby - who the family got shortly after moving into their new home. Lisa said ruby kept escaping from their garden onto mr cook's land causing him to come and complain. She explained : `he knocked on the door and said `` your dog is getting out, she's being a problem, she's going after my pheasants''.' ' i didn't like him, i thought he was rude. I was upset as i didn't want to cause trouble. We did our best to make sure it wouldn't happen again and i thought that would be the end of it.' But a few days later, mr cook returned to complain that ruby had killed 120 of his birds and if he saw her on his land again, he would shoot her. James said he",correct,"Lisa and james tuttle thought their big house with a garden surrounded by arable land would be a peaceful family home. But their happiness was shattered in 2014 after their dogs marley and lily were shot dead by the farmer next door. Lily, centre, and marley, were killed as they were accused of killing his birds."
"A freezer trawler has sunk in a peninsula off the coast of russia, killing at least 56 crew members. A massive rescue operation involving more than 1, 300 people is now underway after the ship, carrying an international crew of 132, sank in the sea of okhotsk in just 15 minutes. Rescued crew members reported that the ship, called the dalny vostock, was unstable because of empty fuel tanks and a lack of ballast as it sailed through the kamchatka peninsula. The russian freezer trawler, called the dalny vostok, that sank while carrying 132 crew members at 4am on thursday morning local time. At least 54 bodies have been recovered in the huge rescue operation. Map showing the location of the disaster. There are 13 members of the crew are still missing after the trawler tipped over when a fishing net was pulled in, a regional governor told russian television on thursday. It tipped over when a fishing net weighing 80 tons was pulled in, said oleg kozhemyako, acting governor of the nearby sakhalin region. Kozhemyako's comments on russian television came after the federal investigative committee said it was considering all possible causes for the sinking, but it was likely that the trawler hit `an object' floating in the sea, perhaps drifting ice. More than 26 fishing boats in the area have helped to rescue members of the crew, but have also recovered 56 bodies. The disaster happened at around 4am local time, and the trawler did not send any distress signals before it sank, the interfax news agency said. Early reports added that the dalny vostok sank in just 15 minutes after its engine compartment had been flooded. So far 63 people have been rescued, with survivors suffering from hypothermia and other injuries being airlifted to hospital. At the latest count there are 13 people still missing. An emergency services representative told local media that two of the bodies were found on",correct,At least 54 bodies have been recovered in the huge rescue operation. There are 13 members of the crew are still missing after the trawler tipped over when a fishing net was pulled in. The russian freezer trawler was unstable because of empty fuel tanks and a lack of ballast.
"A mother and her teenage daughter have been arrested after a video of them fighting with a student at a high school was posted online. The pair were caught on camera at langham creek high school, in houston on tuesday. The mother, who has not been identified, was reportedly angry with the girl because she had allegedly been bullying her daughter, reports channel 2. Scroll down for video. A mother and her teenage daughter have been arrested after a video of them fighting with a student at a high school was posted online. The mom is seen in a black top on the right and the victim is center wearing white. The mother, who has not been identified, was reportedly angry with the girl because she had allegedly been bullying her daughter, reports channel 2. The video, which was posted online, but has now been taken down, shows the mother - wearing jeans and black top - attacking the student along with another girl - presumably her daughter. At one point the student's hair extension is ripped out as she cries out in pain and tries to escape. A circle of students watch the brawl from the sidelines. School security guards and staff manage eventually break up the fight, reports click2houston. The video, which was posted online, but has now been taken down, shows the mother - wearing jeans and black top - attacking the student along with another girl - presumably her daughter. A spokesperson for cypress - fairbanks independent school district said the mother bypassed the school's front desk and then joined her daughter in physically assaulting the student. A spokesperson for cypress - fairbanks independent school district said the mother bypassed the school's front desk and then joined her daughter in physically assaulting the student. Assistant school superintendent nicole ray told khou : `we are outraged and disappointed by the incident that took place today. ` this type of behavior will not be tolerated.' The harris county sheriff's office and harris county district attorney's office are now investigating. The brawl took place at lang",correct,"The pair were caught on camera at langham creek high school, in houston on tuesday. The mother, who has not been identified, was reportedly angry with the girl because she had allegedly been bullying her daughter, reports channel 2. The mother and her teenage daughter have been arrested after a video of them fighting with a student at a high school was posted online."
"A paratrooper who braved heavy taliban fire to rescue a wounded comrade received the victoria cross from the queen yesterday. She told lance corporal joshua leakey : `i don't get to give this one out very often. Did you ever imagine you'd be standing here? Well done.' But in fact the 27 - year - old is the second member of his family to receive the highest military decoration for valour - - a cousin was given the honour 70 years ago. Scroll down for video. The queen awards a victoria cross to lance corporal joshua leakey, who showed immense bravery by drawing enemy fire and helping his comrades before taking the fight to the taliban in august 2013. It is just the sixth time the queen has given a vc to a living, british recipient during her reign. L / cpl leakey said he was `uncomfortable' about being singled out ahead of others in his regiment and insisted the battle was `just one job, one patrol out of multiple patrols' l / cpl leakey is only the sixth living british soldier the queen has presented with his medal. He was invested in a ceremony at windsor castle. L / cpl leakey, of 1 para, is the third british serviceman to receive the vc for bravery during the afghanistan campaign but the other two awards were made posthumously. In 2013, he braved heavy gunfire from 20 taliban insurgents in helmand to rush to the aid of a wounded us marine. He also took control of a machine gun post to begin the fightback, then ran down a barren hillside, dodging a hail of bullets, picked up another machine gun and continued the battle in which 11 insurgents were killed and four wounded. According to the official citation, l / cpl leakey, who is single and from hampshire, showed `complete disregard for his own safety' as his unit came under attack for around an hour. The paratrooper shared a brief exchange with the queen as he was awarded the honour at",correct,"The queen awards a victoria cross to lance corporal joshua leakey. The 27-year-old is the second member of his family to receive the highest military decoration for valour. It is the sixth time the queen has given a vc to a living, british recipient during her reign."
