article,classification,summary
"( cnn ) about 20 hours after the boston marathon started monday, many of the cheering crowds had dispersed and the streets were cleared. But one man, despite the odds against him, crossed the finish line. Venezuelan native maickel melamed, who is battling muscular dystrophy, completed the 26. 2 miles just before 5 a. M. Tuesday. A group of energized fans rallied for the 39 - year - old as he walked down boylston street in the pouring rain with volunteers from his foundation, vamos. He was the last participant to complete the race, cnn affiliate wcvb - tv reported. Friends who were waiting for melamed to cross the finish line said the university professor and motivational speaker is dedicated and motivated. ` `he wants to show that life is great, no matter how many problems you can have,'' friend perla sananes said. Melamed was born with muscular dystrophy, which causes progressive weakness and loss of muscle mass throughout the body. As the disease progresses, people with the condition have difficulty doing physical activities like running and walking. Melamed has completed marathons in chicago, new york, berlin and tokyo. Boston has a special place in his heart because his parents brought him to the city as a baby, wcvb - tv said. His perseverance was celebrated by crowds at the marathon finish line tuesday morning, and also by fans online. Melamed is one of about 30, 000 participants who raced in this year's marathon, which comes less than two weeks after a jury found dzhokhar tsarnaev guilty of all 30 charges related to the 2013 boston bombings. On social media monday, spectators cheered for runners and the city, calling the marathon a symbol of strength and unity.",hallucinated,Maickel melamed was born with muscular dystrophy. He was the last participant to win the race before 5 a.m. tuesday. He is a venezuelan dystrophy.
"( cnn ) call it a little piece of heaven for a family torn apart by tragedy. Back in july, sierra sharry and lane smith were just about to become parents. Sharry was eight months pregnant. But then smith fell and hit his head. He was taken to the ou medical center in oklahoma city. Smith never recovered. ` `july 13th 2014 was the absolute worst day of my life,'' sharry posted on facebook. ` `i lost my best friend. The father of my unborn child.' ' their son taos arrived a few weeks later. When it was time for his 6 - month pictures, sharry had a special request. Maybe the photographer could make their family complete, just for one picture. ` `they asked me if i would be willing to `play around' with capturing their first family photo by editing taos' daddy in one of their pictures,'' kayli rene' photography posted on facebook. ` `i just got to thinking, we don't have a picture with lane in it,'' the new mom told cnn affilaite koco. The photographer wasn't sure it would work, but they found just the right picture of smith - - one that has him looking over his family's shoulder. ` `lane's not physically here with us, of course, but that picture represents to us that he is always watching over us and he will always be there for us no matter what,'' sharry said. The family photo has become a social media sensation after appearing on the photographer's facebook page this week. It has some 193, 000 likes and more than 24, 000 shares. ` `i can't believe she actually did this,'' sharry said. ` `it's like amazing and apparently everyone else thinks it is too.' '",hallucinated,"`` july 13th 2014 was the absolute worst day of my life,'' sierra sharry and lane smith. Sharry was eight months pregnant. Smith fell and hit his head."
"( cnn ) comedian chris rock made light of racial disparities in police treatment of whites and blacks with a tongue - in - cheek guide to not being beaten by the police. He encapsulated the frustration and grief caused by a new york grand jury's decision not to indict a white police officer in the death of a black man with a simple tweet : `` this one was on film.' ' now, he's stirring things up again with a series of tweets documenting three traffic stops in seven weeks. ` `stopped by the cops again wish me luck,'' he posted early tuesday, along with a photo showing him behind the wheel of a car with what looks like blue police lights in the background. He posted similar photos in february. Many african - americans have long bemoaned the phenomenon of being pulled over for no apparent reason, calling it `` driving while black.' ' blacks are about 30 % more likely to be pulled over by police than whites, according to figures reported by the bureau of justice statistics in 2013. And in amid increased conversation over race and policing after the high - profile deaths last year of eric garner in new york and michael brown in ferguson, missouri, the issue is even more sensitive. Rock hasn't commented on the tweets and didn't say how the police stop turned out. He got lots of support on twitter. ` `my heart legit dropped, no kidding,'' one twitter fan posted. Many praised him for documenting the stops. Some accused him of race - baiting. But one bit of advice in particular lit up social media. Actor isaiah washington urged rock to'' $ adapt'' to avoid racial profiling. ` `i sold my $ 90, 000. 00 mercedes g500 and bought 3 prius's, because i got tired of being pulled over by police,'' washington tweeted",hallucinated,"A new york grand jury's decision not to indict a white police officer in the death of a black man. `` this one was on film,'' he says. Blacks are about 30 % more likely to be pulled over by police than whites."
"( cnn ) did former new england patriot aaron hernandez kill odin lloyd, a man who was dating the sister of hernandez's fiancee and might have become his future brother - in - law? Hernandez has pleaded not guilty to murder and two weapons charges, setting the stage for his trial in fall river, massachusetts, that began in january. He's accused of orchestrating the shooting death of lloyd. During closing arguments, prosecutor william mccauley called the football player the trigger man. Jury deliberations began tuesday. Even after closing arguments, the motive is still unclear but not legally required to get a conviction. Still, jurors like to know a motive. Evidence collected in lloyd's death led to two more murder charges against hernandez in a separate case in boston. It's scheduled to begin in may, but officials say it will be pushed back. The trial has involved a complicated cast of characters, including two sisters who played important roles in the lives of hernandez and lloyd. Here is a primer :. Inside the case against aaron hernandez. Odin lloyd. Odin lloyd was a 27 - year - old semi - pro football player for the boston bandits. He was found dead on june 17, 2013, less than a mile from hernandez's home in north attleboro, massachusetts. He had been shot six times. Lloyd met hernandez while dating shaneah jenkins, the sister of hernandez's fiancee, shayanna jenkins. Hernandez is charged with orchestrating lloyd's execution. Daniel de abreu and safiro furtado. Daniel de abreu and safiro furtado were killed outside a boston nightclub on july 16, 2012. Earlier that evening, prosecutors say, de abreu accidentally bumped into hernandez, spilling a drink. Later that night, hernandez was driving an suv and allegedly pulled up alongside de abreu and furtado's car near the nightclub and fired a. 38 - caliber revolver",hallucinated,Aaron hernandez has pleaded not guilty to murder and two weapons charges. He was dating the sister of hernandez's fiancee. Hernandez is charged with lloyd's execution.
"( cnn ) for years, when i'd tell new friends i was half - armenian, a puzzled look would cross their faces, before they'd ask something like, `` do you have a country?' ' or, when there was a spark of recognition, they'd chortle, `` ah, you're the people with the last names all ending in `ian'!' ' in fact, one of our most famous armenians, cher, was better known for her oscar - winning portrayals of italians, and had dropped her own identifying surname. The decimation of our people, too, was reduced to a footnote - - if we were lucky - - in tomes about world war i, when more than one million armenians were killed during the last days of the ottoman empire. Most of the time, though, the coverage was about how armenians and turks hate each other like cats and dogs, that the turks continue to deny that ethnic cleansing occurred, saying the armenians had hatched a rebellion, and that the leaders had no choice but to deport them from their homes and put them on the road that led to their deaths. Even adolf hitler had brushed us aside, uttering, just before invading poland in september 1939 : `` who, after all, speaks today of the annihilation of the armenians?' ' according to the former bureau chief of the associated press in berlin, louis lochner. Apparently he hadn't the anticipated the kardashian juggernaut. As kim kardashian, sister khloe and their two cousins recently toured armenia - - on the eve of the 100th anniversary of the mass killings, which is marked on april 24 - - they spotlighted a humanitarian crime that pope francis recently called `` the first genocide of the 20th century.' ' suddenly, the poor landlocked country of armenia was trending. Standing in front of the statute of `",hallucinated,Cher and turks were killed during the 100th anniversary of the 100th killings. They were on the eve of the killings that killed one million armenians. `` mother armenia'' is the first genocide of armenia.
"( cnn ) how will the new `` fantastic four'' differ from the original movie of a decade ago? For starters, as a new trailer shows, sue and johnny storm's father initiates the project that ends up giving the foursome their powers. They also end up in another dimension, and we see the early flirtation between sue storm and reed richards as well. The movie, due out august 7, promises a very different take on the classic marvel comics characters, played this go - round by miles teller, kate mara, michael b. Jordan and jamie bell. We also get our first glimpse of the villainous dr. Doom in this new trailer, released sunday. Fans on twitter had mixed reactions. Check out the trailer here :. The trailerpalooza of `` star wars,'' `` batman v. Superman'' and `` fantastic four'' kept sci - fi and superhero fans chattering all weekend. Not to be outdone, the new trailer for `` jurassic world'' came out monday morning. It features even more of star chris pratt. Pratt's scientist character knows dinosaurs better than anyone. After a genetically modified mutant dinosaur escapes from an island theme park along with others, he takes charge of a mission to contain the dangerous creatures. ( the trailer also includes part of a scene that caused controversy after joss whedon called it `` sexist'' last week. ). The movie is first in the rampaging - dino franchise since `` jurassic park iii'' in 2001. And, as we see for the first time, the dinosaurs have learned to communicate with each other. Uh - oh. Early word on twitter was pretty good. Here's the new trailer for the movie, out june 12 :.",hallucinated,The new trailer for `` jurassic world'' came out monday morning. The movie is first in the rampaging-dino franchise since `` jurassic park iii'' pratt's scientist chris pratt is the movie's new trailer. Fans on twitter are to show the movie.
"( cnn ) there is a special kind of hell reserved for the women who fall into the clutches of today's jihadi fighters. We are all familiar with the brutality of isis, the self - anointed islamic state, or boko haram, the nigerian terrorists who have pledged allegiance to isis. This new wave of violent islamist groups proudly brandishes medieval methods of cruelty through modern technology as a tool of recruitment and intimidation. But there is something very different about the way they treat women. The jihadi chiefs have a strategy beyond the battlefield. Their treatment of their female victims plays an important part in their ambitious radical strategy. Killing the enemy, the men, is a tactic for winning battles and conquering territory. What they do to women has an altogether different purpose : it is part of the larger plan of building a `` caliphate,'' a sharia - ruled state complete with controls and norms harking back to the seventh century or, rather, to the group's interpretation of life in the early days of islam. Yazidi girls who slipped isis after its siege of mount sinjar describe how they were sent to slave warehouses along with hundreds of other women. There, they were lined up in groups of 50 and displayed for isis fighters to choose among them, some for marriage, others for sexual slavery. The stories told to journalists or to human rights workers are confirmed by doctors who have examined the girls and say they have found evidence of repeated sexual assault. An investigation by human rights watch found `` a system of organized rape and sexual assault, sexual slavery, and forced marriage by isis forces,'' actions that the group says `` are war crimes and may be crimes against humanity.' ' in nigeria, boko haram also has a very specific approach to women. The 276 students kidnapped one year ago make up a small portion of the 2, 000 women and girls kidnapped by the group since 2014, according to amnesty",hallucinated,"Boko haram : isis, the self-anointed islamic state, is a strategy for the jihadi chiefs. They say the men' treatment of their female victims treat women in radical strategy. They say boko haram is one of the world's most popular islamist groups."
"( cnn ) they may not be `` star trek'' - type extraterrestrials, but we may be close to finding evidence of alien life, a nasa scientist says. ` `i think we're going to have strong indications of life beyond earth within a decade, and i think we're going to have definitive evidence within 20 to 30 years,'' nasa chief scientist ellen stofan said tuesday during a panel discussion on water in the universe. ` `we know where to look. We know how to look,'' she said. ` `in most cases, we have the technology, and we're on a path to implementing it. And so i think we're definitely on the road.' ' nasa released a graphic noting that scientists have found evidence or indications of water on a number of celestial bodies, including the dwarf planet ceres and jupiter's moon europa. The hubble space telescope has been key to the discoveries, nasa said in a news release. ` `scientists using nasa's hubble space telescope recently provided powerful evidence that ( jupiter's moon ) ganymede has a saltwater, sub - surface ocean, likely sandwiched between two layers of ice,'' the agency noted. There are some caveats involved, of course. Nasa isn't talking about intelligent alien civilizations from the alpha quadrant ; it's referring to microorganisms. ` `we are not talking about little green men,'' stofan said at the panel. ` `we are talking about little microbes.' ' still, former astronaut john grunsfeld said it's an exciting time - - and he thinks it's just a matter of time before we find life outside our solar system as well. ` `i think we're one generation away in our solar system, whether it's on an icy moon or on mars",hallucinated,"Nasa scientist ellen stofan : `` i think we're going to have strong indications of life beyond earth within a decade'' scientists have found evidence or indications of water on a number of celestial bodies. `` we know how to look,'' nasa chief scientist says. The hubble space telescope may not be `` star trek'' - type extraterrestrials."
"( cnn ) when drinkers in clayton's, a beachfront bar in south padre island, texas, belly up for a round of shots, bartender casey belue can usually guess what they'll order. It comes in a yellow - labeled bottle with a fire - breathing demon on it. It tastes like big red chewing gum. It's fireball cinnamon whisky, and lately it's been as hot as its name. ` `fireball is number one, definitely. That's pretty much the chosen shot,'' said belue, who enjoys it herself now and then. ` `on an average night, we probably go through three or four bottles.' ' if you're young - - say, under 35 - - this may not be news to you. Fireball, which didn't exist in its current form a decade ago, is the fastest - growing big brand of liquor in america. Retail sales more than doubled last year, and fireball has come seemingly out of nowhere to become the sixth - most popular liquor brand in the u. S. As measured by retail sales - - ahead of such venerable labels as jim beam, jose cuervo and grey goose. And these figures don't include sales in bars, where fireball has dethroned jagermeister as america's party shot of choice. Or social media feeds, which fill with photos of fireball - flavored revelry and $ fireballfriday hashtags. ` `fireball is an incredible phenomenon. The growth of it has just been astounding,'' said lew bryson, managing editor of whisky advocate and author of several books on whiskey and other spirits. ` `for a whiskey, this is unprecedented.' ' to the uninitiated, fireball is basically made from canadian whisky, aged in used bourbon barrels, flavored with sweetener and spicy cinnamon. ( the",hallucinated,"Fireball is the big brand of liquor in america. Retail sales more than doubled last year. `` fireball is number one, we,'' fireball cinnamon whisky."
"A `unique and beautiful' teenage girl was killed by a driver who crashed a stolen car while drunk and high on cocaine and cannabis. Xana doyle, 19, was a passenger in the toyota avensis, which flipped and landed on its roof in an accident in the early hours of the morning. Driver sakhawat ali, 23, was more than twice the drink - drive limit and had been taking class a and b drugs before getting behind the wheel. Xana doyle ( pictured ) was killed after driver sakhawat ali crashed a stolen car while high on drugs. The toyota avensis flipped and landed on its roof after the crash in the early hours of the morning in january. A court heard he was driving at `excessive speed' in the moments before the crash, which did not involve any other vehicle. Miss doyle, who suffered a `blunt head injury', was pronounced dead at the scene in newport, south wales. Ali admitted causing death by dangerous driving and aggravated vehicle taking when he appeared at cardiff crown court yesterday. Judge neil bidder qc told the court : `the driver was well over twice the drink - drive limit and it is accepted there was excessive speed.' The judge said he wanted more information on how much cocaine and cannabis the driver had taken on the night of the smash before sentencing. Ali, of newport, was remanded in custody ahead of a hearing in july. Sakhawat ali ( pictured right ) admitted causing death by dangerous driving and aggravated vehicle taking. The driver's cousin, shabaz ali, 21, admitted allowing himself to be carried in a stolen car following the smash in january this year. The july hearing will decide whether he `contributed' to the accident by pulling the handbrake from the back seat. Floral tributes were left at the scene of the accident and hundreds of people attended the funeral of miss doyle, a former duffryn high school student, in",hallucinated,"Hina shamim, 21, died close to the university of kingston in london last night. Her bmw m3 sportscar knocked her down before she was knocked down. One of the children is believed to have suffered a broken wrist."
